,Review
0,"There is no manufacturing defect from the brand\'s end. Also, we haven\'t been reported regarding any issues in the car. Proper oiling and maintenance of the mechanixcs in the car will prevent the car from defects."
1,Mg hector is best for official use and it was an amazing car. It can be told to be the richest look of this car. It was not a costly car with this type of feature. I am v...Read More
2,"Good looks, high-performance level. Highly recommended! This new company in India is changing the game and introducing some fine machines with strong performance and at a...Read More"
3,"It is a complete car with all new facilities, MG Hector's body is very good and its performance is excellent. It is very advance according to the era. It has very good fe...Read More"
4,
5,
6,People might like the Kia better but this car has its class of its own with its phenomenal looks and stance which is a charmer on road. The features too are fully loaded as one would expect it to be so good job by the MG team. Read More
7,"1. The exterior looks superb and is a perfect car for men. 2. Best car in this class in the price. 3. Luxurious seating. 4. Large Panorama window. 5. Larger boot space. 6. Only a few commands are working. 7. Pickup, when compared to the same segment bit, lags in this and not that comfortable for driving, and especially due to a short clutch. ...Read More"
8,A very interesting and spectacular car. MG Hector is world famous now. The huge sunroof and the big 10-inch screen makes this car spectacular. This car gives very good comfort and large boot space. The entertainment in this is the most spectacular feature in MG Hector. Read More
9,Good and excellent car and it takes all the attention of all the other cars just due to it's exterior. Good in all aspects.
10,Smooth feel inside the beast. An amazing car so far.
11,A real slayer. The interior and the exteriors are so dashing. Far better than Toyota Fortuner.
12,The most powerful car.
13,Perfect drive due to ultimate steering and infotainment system is mind-blowing.
14,Amazing drive and great looks.
15,"Best luxury SUV in the budget as It contains many features that are only in this car like the panoramic sunroof, new voice assistance and many more. Its design is very beautiful and taillight looks like Audi's taillight. It has sufficient space for passengers and its price range is also good. It is an affordable car for middle-class people at this ...Read More"
16,"The MG Hector pretty much outsizes everything in its class. Its length and wheelbase are the largest amongst its rivals, though the narrow girth and excessive rear overhang do throw proportions off a bit. Generous use of chrome means the Hector is big on bling and elements like the split LED DRLs and headlamps set up ensure the MG grabs attention. Read More"
17,This car is perfect for a family it is the best car in this range. It contains many features that are only in this car like panoramic sunroof new voice assistance and many more its design is very beautiful its tail light is all led its tail light look like Audi tail light and its have efficient space for persons and its price range is also good it ...Read More
18,"The best car at a very reasonable price and best specification in the budget, it has very advanced features."
19,"MG Hector is a very comfortable car, I love to drive it, it is very good to take anywhere my experience is very good for Hector."
20,"The best car at that price best feature, amazing power, and handling is also good. All over best in class and amazing space."
21,Hector has a very luxurious seating in it. There are comfortable seats for everyone and it is the very perfect car for every family
22,The first SUV from MG in India surely is trending. When we first experienced the Hector on the hills.
23,Nice car of new technology.
24,Nice model and features of the car especially the internet car which is fully automatic car.
25,"MG Hector is an awesome car because we are getting all the attractive features in the economical price range. So, I love to drive this car."
26,"Hector, as its name indicates bully's, its rivals because of its daring looks, starting from its front the massive LED headlights and the DRL's positioning gives it the aggressiveness, coming to its side profile it looks glorious but just the 17 inch alloy wheels somewhere take the thunder away, then coming to the back of the car, it looks attracti...Read More"
27,Mg Hector is one of the best SUV segment cars in India. It is competition with Tata Harrier and Hyundai Creta. Pros: It has good pickup 2. It has a smooth drive. Cons:1 Issue with voice command either it doesn't recognize or it listens to what you talk 2. Display touch is not responding sometimes 3. The cooling issue in the rear section ac is not m...Read More
28,"The car is full of updated techs and features. Apart from it, it has superb space, looks, power, and the driving experience is awesome. It's best in the segment."
29,MG Hector is one of the most popular SUV with advanced features with all safety features also with high built quality interior and exterior. You will get satisfied after buying the Hector no need to take any worry about we have purchased a good or a bad car. After experiencing the drive day by day you will be satisfied with your doubts. Read More
30,A classic car in this range as it has a better look than Fortuner. Killer looks. Never seen a beast like this ever before.
31,It's an amazing car. It's within the budget and the pickup is amazing. Amazing sunroof.
32,Really a lovely car and highly recommended.
33," MG Hector has very good features and also get a comfortable ride. I love to drive this car as compared to another car. Moreover, this is the best car in this budget range. Read More"
34,MG Hector is an amazing car. Really comfortable and delivers wonderful mileage.
35,"As I shut the door of the Hector, the door's thud surprised me. It is a solid car. The acceleration was decent and the power delivery is great. The space in the back seat is amazing. The quality is top-notch as you expect from a 20+ lac car. The thing that annoyed me is the screen, it's laggy. The basic functions like the A.C. and the 360 camera se...Read More"
36,"There is no manufacturing defect from the brand\'s end. Also, we haven\'t been reported regarding any issues in the car. Proper oiling and maintenance of the mechanixcs in the car will prevent the car from defects."
37,"When we first experienced the Hector on the hills of Coimbatore, we knew it had the makings of a winner. No doubt, the distinctive design, exhaustive features list and a hugely spacious cabin are all strong factors in the success of an SUV, but that brief drive was just a sampler and didn't include the petrol-automatic variant. This variant is the ...Read More"
